Traning started.....
Epoch[0] Finished[7.526%]Batch[56]loss_adversarial:1.2682945728302002
Epoch[0] Finished[7.526%]Batch[56]iou_adversarial:0.19754892732487436
Epoch[0] Finished[7.526%]Batch[56]acc_adversarial:0.657771110534668
Epoch[0] Finished[7.661%]Batch[57]loss_adversarial:1.2682894468307495
Epoch[0] Finished[7.661%]Batch[57]iou_adversarial:0.18784993466110222
Epoch[0] Finished[7.661%]Batch[57]acc_adversarial:0.5856685638427734
Epoch[0] Finished[7.795%]Batch[58]loss_adversarial:0.9925495982170105
Epoch[0] Finished[7.795%]Batch[58]iou_adversarial:0.21153296050733233
Epoch[0] Finished[7.795%]Batch[58]acc_adversarial:0.682896614074707
Epoch[0] Finished[7.930%]Batch[59]loss_adversarial:1.1423366069793701
Epoch[0] Finished[7.930%]Batch[59]iou_adversarial:0.2059749256745293
Epoch[0] Finished[7.930%]Batch[59]acc_adversarial:0.6393928527832031
Epoch[0] Finished[8.064%]Batch[60]loss_adversarial:1.2507712841033936
Epoch[0] Finished[8.064%]Batch[60]iou_adversarial:0.1885653425717859
Epoch[0] Finished[8.064%]Batch[60]acc_adversarial:0.5411176681518555
Epoch[0] Finished[8.198%]Batch[61]loss_adversarial:2.070969820022583
Epoch[0] Finished[8.198%]Batch[61]iou_adversarial:0.16630131631738188
Epoch[0] Finished[8.198%]Batch[61]acc_adversarial:0.33803844451904297
Epoch[0] Finished[8.333%]Batch[62]loss_adversarial:1.1954878568649292
Epoch[0] Finished[8.333%]Batch[62]iou_adversarial:0.2544089696565576
Epoch[0] Finished[8.333%]Batch[62]acc_adversarial:0.5789604187011719
Epoch[0] Finished[8.467%]Batch[63]loss_adversarial:0.9578856229782104
Epoch[0] Finished[8.467%]Batch[63]iou_adversarial:0.18099234032712713
Epoch[0] Finished[8.467%]Batch[63]acc_adversarial:0.5966682434082031
Epoch[0] Finished[8.602%]Batch[64]loss_adversarial:1.425165057182312
Epoch[0] Finished[8.602%]Batch[64]iou_adversarial:0.14730327179364322
Epoch[0] Finished[8.602%]Batch[64]acc_adversarial:0.5586891174316406
Epoch[0] Finished[8.736%]Batch[65]loss_adversarial:1.310289978981018
Epoch[0] Finished[8.736%]Batch[65]iou_adversarial:0.21381905764645456
